@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute shellData-1 numeric
@attribute shellData-2 numeric
@attribute shellData-3 numeric
@attribute shellData-4 numeric
@attribute shellData-5 numeric
@attribute shellData-6 numeric
@attribute shellData-7 numeric
@attribute shellData-8 numeric
@attribute shellData-9 numeric
@attribute shellData-10 numeric
@attribute shellData-11 numeric
@attribute shellData-12 numeric

@data
264,'2017/08/16 15:51:25:879',5,11.352797,1.298658,7.457006,7.398517,2.886917,2.893871,23.616146,6.069777,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
265,'2017/08/16 15:51:25:916',5,11.355819,1.300657,7.451714,7.394246,2.88902,2.896871,23.612514,6.07036,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
266,'2017/08/16 15:51:25:952',5,11.357985,1.30093,7.451408,7.394799,2.892215,2.901042,23.609243,6.07025,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
267,'2017/08/16 15:51:26:012',5,11.358067,1.303184,7.449422,7.39355,2.892999,2.902925,23.603682,6.070671,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
268,'2017/08/16 15:51:26:041',5,11.359214,1.305509,7.445653,7.391005,2.893191,2.904123,23.598343,6.072985,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
269,'2017/08/16 15:51:26:077',5,11.358498,1.304601,7.443152,7.388676,2.895781,2.907656,23.591045,6.073462,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
270,'2017/08/16 15:51:26:118',5,11.354708,1.30665,7.441811,7.386721,2.896534,2.909154,23.586666,6.072742,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
271,'2017/08/16 15:51:26:148',5,11.350271,1.310471,7.439281,7.384358,2.893806,2.907119,23.5807,6.073486,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
272,'2017/08/16 15:51:26:186',5,11.349631,1.311316,7.437874,7.383111,2.893427,2.907248,23.573589,6.073824,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
273,'2017/08/16 15:51:26:222',5,11.348703,1.31394,7.435847,7.381658,2.894944,2.909123,23.569218,6.073953,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
