@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute shellData-1 numeric
@attribute shellData-2 numeric
@attribute shellData-3 numeric
@attribute shellData-4 numeric
@attribute shellData-5 numeric
@attribute shellData-6 numeric
@attribute shellData-7 numeric
@attribute shellData-8 numeric
@attribute shellData-9 numeric
@attribute shellData-10 numeric
@attribute shellData-11 numeric
@attribute shellData-12 numeric

@data
340,'2017/08/16 15:51:41:950',6,14.486244,1.28696,7.128454,7.109717,2.642704,2.719547,23.446999,6.940616,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
341,'2017/08/16 15:51:41:979',6,14.486456,1.284068,7.116963,7.098954,2.649677,2.726211,23.443548,6.941352,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
342,'2017/08/16 15:51:42:032',6,14.488455,1.280949,7.107208,7.089324,2.657491,2.733317,23.440363,6.94247,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
343,'2017/08/16 15:51:42:065',6,14.488213,1.276686,7.096138,7.078369,2.664074,2.739118,23.436083,6.945692,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
344,'2017/08/16 15:51:42:106',6,14.492182,1.275647,7.086501,7.069905,2.670394,2.744747,23.433737,6.9476,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
345,'2017/08/16 15:52:34:767',7,15.556062,7.01077,6.273212,6.328138,2.234699,2.280297,27.494371,6.576706,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
346,'2017/08/16 15:52:34:796',7,15.570839,7.034454,6.278668,6.335172,2.23571,2.28152,27.517431,6.570481,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
347,'2017/08/16 15:52:34:826',7,15.572882,7.070384,6.287216,6.343319,2.232396,2.277713,27.538696,6.562757,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
348,'2017/08/16 15:52:34:861',7,15.560455,7.083043,6.298181,6.352868,2.232054,2.276011,27.560707,6.552926,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
349,'2017/08/16 15:52:34:908',7,15.552306,7.073133,6.313643,6.366223,2.231061,2.273292,27.566788,6.543566,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
350,'2017/08/16 15:52:34:936',7,15.547292,7.089914,6.324932,6.3771,2.230785,2.272735,27.572895,6.534529,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
351,'2017/08/16 15:52:35:034',7,15.530271,7.096411,6.333954,6.385201,2.230002,2.271475,27.586142,6.528893,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
352,'2017/08/16 15:52:35:061',7,15.513871,7.080021,6.348486,6.398689,2.229319,2.270138,27.590754,6.524831,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
353,'2017/08/16 15:52:35:220',7,15.48914,7.034634,6.361997,6.410167,2.232924,2.272239,27.588587,6.516239,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
354,'2017/08/16 15:52:35:275',7,15.48664,7.009143,6.370091,6.416348,2.233569,2.271407,27.594852,6.513912,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
355,'2017/08/16 15:52:35:304',7,15.498652,7.054424,6.373492,6.4195,2.230816,2.268825,27.598381,6.50828,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
356,'2017/08/16 15:52:35:333',7,15.497566,7.056121,6.387566,6.431911,2.230087,2.266646,27.589418,6.504213,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
357,'2017/08/16 15:52:35:360',7,15.483113,7.057285,6.402313,6.445282,2.229304,2.264752,27.595278,6.493525,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
358,'2017/08/16 15:52:35:427',7,15.489045,7.087402,6.414814,6.458798,2.225697,2.261794,27.597857,6.483638,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
359,'2017/08/16 15:52:35:462',7,15.507207,7.166992,6.427635,6.47237,2.221006,2.257124,27.60062,6.478662,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
360,'2017/08/16 15:52:35:491',7,15.535349,7.225278,6.443106,6.489088,2.217518,2.253311,27.601179,6.468552,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
361,'2017/08/16 15:52:35:521',7,15.543985,7.317651,6.450613,6.498445,2.213143,2.249953,27.600716,6.460917,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
362,'2017/08/16 15:52:35:550',7,15.56337,7.361749,6.459565,6.507386,2.210627,2.247206,27.598394,6.45447,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
363,'2017/08/16 15:52:35:579',7,15.577557,7.391278,6.466461,6.514231,2.209661,2.245713,27.594875,6.448418,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
364,'2017/08/16 15:52:35:609',7,15.584738,7.422493,6.48102,6.528769,2.206975,2.242687,27.600227,6.441343,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
365,'2017/08/16 15:52:35:679',7,15.594922,7.444832,6.483375,6.532308,2.206527,2.243173,27.602438,6.437613,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
366,'2017/08/16 15:52:35:715',7,15.58864,7.459558,6.483612,6.532115,2.206246,2.243648,27.615068,6.432539,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
367,'2017/08/16 15:52:35:753',7,15.594613,7.42065,6.483391,6.531602,2.210038,2.247719,27.618334,6.428033,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
368,'2017/08/16 15:52:35:790',7,15.577874,7.414552,6.490147,6.538139,2.208825,2.246748,27.62175,6.423697,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
369,'2017/08/16 15:52:35:824',7,15.570586,7.419677,6.491774,6.538968,2.21167,2.250231,27.627283,6.419662,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
370,'2017/08/16 15:52:35:870',7,15.551252,7.353302,6.48492,6.53162,2.21743,2.257027,27.629202,6.41689,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
371,'2017/08/16 15:52:35:935',7,15.548982,7.274097,6.480154,6.526514,2.222189,2.262485,27.608725,6.417679,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
372,'2017/08/16 15:52:35:974',7,15.556981,7.299428,6.46979,6.517854,2.225254,2.267174,27.609913,6.420093,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
373,'2017/08/16 15:52:36:007',7,15.518036,7.303504,6.458976,6.507889,2.227208,2.271002,27.620539,6.416289,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
374,'2017/08/16 15:52:36:033',7,15.491507,7.302027,6.443208,6.49331,2.227308,2.273359,27.634342,6.416732,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
375,'2017/08/16 15:52:36:280',7,15.477608,7.340857,6.436727,6.488283,2.228838,2.275938,27.639097,6.41293,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
376,'2017/08/16 15:52:36:335',7,15.477921,7.37355,6.425185,6.479071,2.229021,2.279043,27.644428,6.40862,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
377,'2017/08/16 15:52:36:365',7,15.47878,7.455767,6.416326,6.473251,2.227742,2.280082,27.667599,6.407852,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
378,'2017/08/16 15:52:36:403',7,15.491669,7.502166,6.400819,6.460701,2.225863,2.280519,27.689619,6.4078,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
379,'2017/08/16 15:52:36:456',7,15.502015,7.529278,6.388231,6.450683,2.227226,2.284383,27.704391,6.406976,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
380,'2017/08/16 15:52:36:488',7,15.517574,7.562787,6.377789,6.44164,2.231205,2.289555,27.718248,6.404354,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
381,'2017/08/16 15:52:36:515',7,15.536722,7.662714,6.368273,6.436005,2.228724,2.289031,27.732285,6.403904,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
382,'2017/08/16 15:52:36:612',7,15.546091,7.719638,6.351941,6.422672,2.229156,2.291986,27.751909,6.403681,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
383,'2017/08/16 15:52:36:639',7,15.556187,7.721136,6.347394,6.419018,2.231726,2.294577,27.763214,6.403227,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
384,'2017/08/16 15:52:36:694',7,15.561018,7.760211,6.342586,6.414869,2.232603,2.29607,27.782198,6.401774,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
385,'2017/08/16 15:52:36:735',7,15.5789,7.848556,6.337613,6.412367,2.231123,2.295849,27.797192,6.402626,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
386,'2017/08/16 15:52:36:768',7,15.589701,7.863552,6.325771,6.401981,2.231677,2.297462,27.811972,6.402929,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
387,'2017/08/16 15:52:36:801',7,15.573195,7.864892,6.31326,6.390514,2.23146,2.298711,27.835012,6.401321,0.964195,0,0.53,0.01,0.43,0.38,0.634505,0.288876,0.381572,0.790828,0.359991,0.402696
